image_path,label
train\cardboard\cardboard349.jpg,cardboard
train\cardboard\cardboard35.jpg,cardboard
train\cardboard\cardboard350.jpg,cardboard
train\cardboard\cardboard351.jpg,cardboard
train\cardboard\cardboard352.jpg,cardboard
train\cardboard\cardboard353.jpg,cardboard
train\cardboard\cardboard354.jpg,cardboard
train\cardboard\cardboard355.jpg,cardboard
train\cardboard\cardboard356.jpg,cardboard
train\cardboard\cardboard357.jpg,cardboard
train\cardboard\cardboard358.jpg,cardboard
train\cardboard\cardboard359.jpg,cardboard
train\cardboard\cardboard36.jpg,cardboard
train\cardboard\cardboard360.jpg,cardboard
train\cardboard\cardboard361.jpg,cardboard
train\cardboard\cardboard362.jpg,cardboard
train\cardboard\cardboard363.jpg,cardboard
train\cardboard\cardboard364.jpg,cardboard
train\cardboard\cardboard365.jpg,cardboard
train\cardboard\cardboard366.jpg,cardboard
train\cardboard\cardboard367.jpg,cardboard
train\cardboard\cardboard368.jpg,cardboard
train\cardboard\cardboard369.jpg,cardboard
train\cardboard\cardboard370.jpg,cardboard
train\cardboard\cardboard371.jpg,cardboard
train\cardboard\cardboard372.jpg,cardboard
train\cardboard\cardboard373.jpg,cardboard
train\cardboard\cardboard374.jpg,cardboard
train\cardboard\cardboard375.jpg,cardboard
train\cardboard\cardboard376.jpg,cardboard
train\cardboard\cardboard377.jpg,cardboard
train\cardboard\cardboard378.jpg,cardboard
train\cardboard\cardboard379.jpg,cardboard
train\cardboard\cardboard38.jpg,cardboard
train\cardboard\cardboard380.jpg,cardboard
train\cardboard\cardboard381.jpg,cardboard
train\cardboard\cardboard382.jpg,cardboard
train\cardboard\cardboard383.jpg,cardboard
train\cardboard\cardboard384.jpg,cardboard
train\cardboard\cardboard385.jpg,cardboard
train\cardboard\cardboard386.jpg,cardboard
train\cardboard\cardboard387.jpg,cardboard
train\cardboard\cardboard388.jpg,cardboard
train\cardboard\cardboard389.jpg,cardboard
train\cardboard\cardboard39.jpg,cardboard
train\cardboard\cardboard390.jpg,cardboard
train\cardboard\cardboard391.jpg,cardboard
train\cardboard\cardboard392.jpg,cardboard
train\cardboard\cardboard393.jpg,cardboard
train\cardboard\cardboard394.jpg,cardboard
train\cardboard\cardboard395.jpg,cardboard
train\cardboard\cardboard396.jpg,cardboard
train\cardboard\cardboard397.jpg,cardboard
train\cardboard\cardboard398.jpg,cardboard
train\cardboard\cardboard399.jpg,cardboard
train\cardboard\cardboard4.jpg,cardboard
train\cardboard\cardboard40.jpg,cardboard
train\cardboard\cardboard400.jpg,cardboard
train\cardboard\cardboard401.jpg,cardboard
train\cardboard\cardboard402.jpg,cardboard
train\cardboard\cardboard403.jpg,cardboard
train\cardboard\cardboard41.jpg,cardboard
train\cardboard\cardboard42.jpg,cardboard
train\cardboard\cardboard46.jpg,cardboard
train\cardboard\cardboard48.jpg,cardboard
train\cardboard\cardboard49.jpg,cardboard
train\cardboard\cardboard5.jpg,cardboard
train\cardboard\cardboard50.jpg,cardboard
train\cardboard\cardboard51.jpg,cardboard
train\cardboard\cardboard53.jpg,cardboard
train\cardboard\cardboard54.jpg,cardboard
train\cardboard\cardboard55.jpg,cardboard
train\cardboard\cardboard56.jpg,cardboard
train\cardboard\cardboard58.jpg,cardboard
train\cardboard\cardboard59.jpg,cardboard
train\cardboard\cardboard6.jpg,cardboard
train\cardboard\cardboard60.jpg,cardboard
train\cardboard\cardboard61.jpg,cardboard
train\cardboard\cardboard62.jpg,cardboard
train\cardboard\cardboard63.jpg,cardboard
train\cardboard\cardboard65.jpg,cardboard
train\cardboard\cardboard66.jpg,cardboard
train\cardboard\cardboard67.jpg,cardboard
train\cardboard\cardboard68.jpg,cardboard
train\cardboard\cardboard69.jpg,cardboard
train\cardboard\cardboard7.jpg,cardboard
train\cardboard\cardboard70.jpg,cardboard
train\cardboard\cardboard71.jpg,cardboard
train\cardboard\cardboard73.jpg,cardboard
train\cardboard\cardboard74.jpg,cardboard
train\cardboard\cardboard75.jpg,cardboard
train\cardboard\cardboard77.jpg,cardboard
train\cardboard\cardboard78.jpg,cardboard
train\cardboard\cardboard79.jpg,cardboard
train\cardboard\cardboard8.jpg,cardboard
train\cardboard\cardboard81.jpg,cardboard
train\cardboard\cardboard82.jpg,cardboard
train\cardboard\cardboard84.jpg,cardboard
train\cardboard\cardboard85.jpg,cardboard
train\cardboard\cardboard86.jpg,cardboard
train\cardboard\cardboard87.jpg,cardboard
train\cardboard\cardboard88.jpg,cardboard
train\cardboard\cardboard9.jpg,cardboard
train\cardboard\cardboard90.jpg,cardboard
train\cardboard\cardboard92.jpg,cardboard
train\cardboard\cardboard93.jpg,cardboard
train\cardboard\cardboard94.jpg,cardboard
train\cardboard\cardboard96.jpg,cardboard
train\cardboard\cardboard97.jpg,cardboard
train\cardboard\cardboard98.jpg,cardboard
train\cardboard\cardboard99.jpg,cardboard
train\compost\compost1.jpg,compost
train\compost\compost100.jpg,compost
train\compost\compost101.jpg,compost
train\compost\compost102.jpg,compost
train\compost\compost103.jpg,compost
train\compost\compost104.jpg,compost
train\compost\compost105.jpg,compost
train\compost\compost107.jpg,compost
train\compost\compost108.jpg,compost
train\compost\compost109.jpg,compost
train\compost\compost11.jpg,compost
train\compost\compost110.jpg,compost
train\compost\compost111.jpg,compost
train\compost\compost112.jpg,compost
train\compost\compost113.jpg,compost
train\compost\compost116.jpg,compost
train\compost\compost12.jpg,compost
train\compost\compost120.jpg,compost
train\compost\compost121.jpg,compost
train\compost\compost122.jpg,compost
train\compost\compost123.jpg,compost
train\compost\compost124.jpg,compost
train\compost\compost125.jpg,compost
train\compost\compost126.jpg,compost
train\compost\compost127.jpg,compost
train\compost\compost128.jpg,compost
train\compost\compost129.jpg,compost
train\compost\compost13.jpg,compost
train\compost\compost130.jpg,compost
train\compost\compost132.jpg,compost
train\compost\compost133.jpg,compost
train\compost\compost134.jpg,compost
train\compost\compost135.jpg,compost
train\compost\compost136.jpg,compost
train\compost\compost137.jpg,compost
train\compost\compost139.jpg,compost
train\compost\compost14.jpg,compost
train\compost\compost140.jpg,compost
train\compost\compost141.jpg,compost
train\compost\compost142.jpg,compost
train\compost\compost143.jpg,compost
train\compost\compost144.jpg,compost
train\compost\compost145.jpg,compost
train\compost\compost146.jpg,compost
train\compost\compost147.jpg,compost
train\compost\compost148.jpg,compost
train\compost\compost15.jpg,compost
train\compost\compost150.jpg,compost
train\compost\compost151.jpg,compost
train\compost\compost152.jpg,compost
train\compost\compost153.jpg,compost
train\compost\compost155.jpg,compost
train\compost\compost156.jpg,compost
train\compost\compost157.jpg,compost
train\compost\compost158.jpg,compost
train\compost\compost159.jpg,compost
train\compost\compost16.jpg,compost
train\compost\compost160.jpg,compost
train\compost\compost161.jpg,compost
train\compost\compost163.jpg,compost
train\compost\compost164.jpg,compost
train\compost\compost167.jpg,compost
train\compost\compost168.jpg,compost
train\compost\compost169.jpg,compost
train\compost\compost17.jpg,compost
train\compost\compost170.jpg,compost
train\compost\compost172.jpg,compost
train\compost\compost173.jpg,compost
train\compost\compost174.jpg,compost
train\compost\compost176.jpg,compost
train\compost\compost177.jpg,compost
train\compost\compost18.jpg,compost
train\compost\compost19.jpg,compost
train\compost\compost2.jpg,compost
train\compost\compost20.jpg,compost
train\compost\compost21.jpg,compost
train\compost\compost23.jpg,compost
train\compost\compost25.jpg,compost
train\compost\compost26.jpg,compost
train\compost\compost27.jpg,compost
train\compost\compost29.jpg,compost
train\compost\compost3.jpg,compost
train\compost\compost30.jpg,compost
train\compost\compost31.jpg,compost
train\compost\compost32.jpg,compost
train\compost\compost33.jpg,compost
train\compost\compost34.jpg,compost
train\compost\compost36.jpg,compost
train\compost\compost37.jpg,compost
train\compost\compost38.jpg,compost
train\compost\compost39.jpg,compost
train\compost\compost40.jpg,compost
train\compost\compost41.jpg,compost
train\compost\compost44.jpg,compost
train\compost\compost45.jpg,compost
train\compost\compost46.jpg,compost
train\compost\compost47.jpg,compost
train\compost\compost48.jpg,compost
train\compost\compost49.jpg,compost
train\compost\compost50.jpg,compost
train\compost\compost52.jpg,compost
train\compost\compost53.jpg,compost
train\compost\compost55.jpg,compost
train\compost\compost56.jpg,compost
train\compost\compost58.jpg,compost
train\compost\compost59.jpg,compost
train\compost\compost6.jpg,compost
train\compost\compost60.jpg,compost
train\compost\compost62.jpg,compost
train\compost\compost63.jpg,compost
train\compost\compost64.jpg,compost
train\compost\compost67.jpg,compost
train\compost\compost68.jpg,compost
train\compost\compost69.jpg,compost
train\compost\compost7.jpg,compost
train\compost\compost72.jpg,compost
train\compost\compost73.jpg,compost
train\compost\compost75.jpg,compost
train\compost\compost76.jpg,compost
train\compost\compost78.jpg,compost
train\compost\compost79.jpg,compost
train\compost\compost8.jpg,compost
train\compost\compost80.jpg,compost
train\compost\compost82.jpg,compost
train\compost\compost83.jpg,compost
train\compost\compost84.jpg,compost
train\compost\compost85.jpg,compost
train\compost\compost86.jpg,compost
train\compost\compost87.jpg,compost
train\compost\compost88.jpg,compost
train\compost\compost89.jpg,compost
train\compost\compost91.jpg,compost
train\compost\compost92.jpg,compost
train\compost\compost93.jpg,compost
train\compost\compost94.jpg,compost
train\compost\compost96.jpg,compost
train\compost\compost97.jpg,compost
train\compost\compost98.jpg,compost
train\compost\compost99.jpg,compost
train\glass\glass1.jpg,glass
train\glass\glass10.jpg,glass
train\glass\glass100.jpg,glass
train\glass\glass101.jpg,glass
train\glass\glass102.jpg,glass
train\glass\glass103.jpg,glass
train\glass\glass104.jpg,glass
train\glass\glass105.jpg,glass
train\glass\glass106.jpg,glass
train\glass\glass107.jpg,glass
train\glass\glass109.jpg,glass
train\glass\glass11.jpg,glass
train\glass\glass110.jpg,glass
train\glass\glass111.jpg,glass
train\glass\glass112.jpg,glass
train\glass\glass113.jpg,glass
train\glass\glass114.jpg,glass
train\glass\glass115.jpg,glass
train\glass\glass116.jpg,glass
train\glass\glass117.jpg,glass
train\glass\glass118.jpg,glass
train\glass\glass119.jpg,glass
train\glass\glass12.jpg,glass
train\glass\glass120.jpg,glass
train\glass\glass121.jpg,glass
train\glass\glass122.jpg,glass
train\glass\glass124.jpg,glass
train\glass\glass125.jpg,glass
train\glass\glass126.jpg,glass
train\glass\glass127.jpg,glass
train\glass\glass128.jpg,glass
train\glass\glass129.jpg,glass
train\glass\glass13.jpg,glass
train\glass\glass130.jpg,glass
train\glass\glass131.jpg,glass
train\glass\glass132.jpg,glass
train\glass\glass133.jpg,glass
train\glass\glass134.jpg,glass
train\glass\glass135.jpg,glass
train\glass\glass136.jpg,glass
train\glass\glass137.jpg,glass
train\glass\glass138.jpg,glass
train\glass\glass139.jpg,glass
train\glass\glass140.jpg,glass
train\glass\glass141.jpg,glass
train\glass\glass143.jpg,glass
train\glass\glass144.jpg,glass
train\glass\glass145.jpg,glass
train\glass\glass146.jpg,glass
train\glass\glass147.jpg,glass
train\glass\glass148.jpg,glass
train\glass\glass149.jpg,glass
train\glass\glass15.jpg,glass
train\glass\glass150.jpg,glass
train\glass\glass152.jpg,glass
train\glass\glass153.jpg,glass
train\glass\glass155.jpg,glass
train\glass\glass156.jpg,glass
train\glass\glass157.jpg,glass
train\glass\glass158.jpg,glass
train\glass\glass16.jpg,glass
train\glass\glass160.jpg,glass
train\glass\glass161.jpg,glass
train\glass\glass162.jpg,glass
train\glass\glass163.jpg,glass
train\glass\glass165.jpg,glass
train\glass\glass167.jpg,glass
train\glass\glass168.jpg,glass
train\glass\glass170.jpg,glass
train\glass\glass171.jpg,glass
train\glass\glass172.jpg,glass
train\glass\glass174.jpg,glass
train\glass\glass176.jpg,glass
train\glass\glass177.jpg,glass
train\glass\glass178.jpg,glass
train\glass\glass179.jpg,glass
train\glass\glass18.jpg,glass
train\glass\glass180.jpg,glass
train\glass\glass181.jpg,glass
train\glass\glass182.jpg,glass
train\glass\glass183.jpg,glass
train\glass\glass184.jpg,glass
train\glass\glass185.jpg,glass
train\glass\glass186.jpg,glass
train\glass\glass187.jpg,glass
train\glass\glass188.jpg,glass
train\glass\glass189.jpg,glass
train\glass\glass190.jpg,glass
train\glass\glass191.jpg,glass
train\glass\glass192.jpg,glass
train\glass\glass194.jpg,glass
train\glass\glass195.jpg,glass
train\glass\glass196.jpg,glass
train\glass\glass197.jpg,glass
train\glass\glass198.jpg,glass
train\glass\glass199.jpg,glass
train\glass\glass2.jpg,glass
train\glass\glass200.jpg,glass
train\glass\glass202.jpg,glass
train\glass\glass203.jpg,glass
train\glass\glass204.jpg,glass
train\glass\glass205.jpg,glass
train\glass\glass206.jpg,glass
train\glass\glass207.jpg,glass
train\glass\glass210.jpg,glass
train\glass\glass211.jpg,glass
train\glass\glass213.jpg,glass
train\glass\glass214.jpg,glass
train\glass\glass217.jpg,glass
train\glass\glass218.jpg,glass
train\glass\glass219.jpg,glass
train\glass\glass22.jpg,glass
train\glass\glass221.jpg,glass
train\glass\glass222.jpg,glass
train\glass\glass223.jpg,glass
train\glass\glass224.jpg,glass
train\glass\glass225.jpg,glass
train\glass\glass226.jpg,glass
train\glass\glass227.jpg,glass
train\glass\glass228.jpg,glass
train\glass\glass229.jpg,glass
train\glass\glass230.jpg,glass
train\glass\glass231.jpg,glass
train\glass\glass232.jpg,glass
train\glass\glass233.jpg,glass
train\glass\glass234.jpg,glass
train\glass\glass235.jpg,glass
train\glass\glass236.jpg,glass
train\glass\glass237.jpg,glass
train\glass\glass238.jpg,glass
train\glass\glass239.jpg,glass
train\glass\glass24.jpg,glass
train\glass\glass240.jpg,glass
train\glass\glass241.jpg,glass
train\glass\glass242.jpg,glass
train\glass\glass243.jpg,glass
train\glass\glass244.jpg,glass
train\glass\glass245.jpg,glass
train\glass\glass246.jpg,glass
train\glass\glass247.jpg,glass
train\glass\glass248.jpg,glass
train\glass\glass249.jpg,glass
train\glass\glass25.jpg,glass
train\glass\glass250.jpg,glass
train\glass\glass251.jpg,glass
train\glass\glass252.jpg,glass
train\glass\glass253.jpg,glass
train\glass\glass254.jpg,glass
train\glass\glass255.jpg,glass
train\glass\glass256.jpg,glass
train\glass\glass257.jpg,glass
train\glass\glass258.jpg,glass
train\glass\glass259.jpg,glass
train\glass\glass26.jpg,glass
train\glass\glass260.jpg,glass
train\glass\glass261.jpg,glass
train\glass\glass262.jpg,glass
train\glass\glass263.jpg,glass
train\glass\glass264.jpg,glass
train\glass\glass265.jpg,glass
train\glass\glass266.jpg,glass
train\glass\glass267.jpg,glass
train\glass\glass268.jpg,glass
train\glass\glass269.jpg,glass
train\glass\glass27.jpg,glass
train\glass\glass270.jpg,glass
train\glass\glass271.jpg,glass
train\glass\glass272.jpg,glass
train\glass\glass273.jpg,glass
train\glass\glass274.jpg,glass
train\glass\glass275.jpg,glass
train\glass\glass276.jpg,glass
train\glass\glass277.jpg,glass
train\glass\glass278.jpg,glass
train\glass\glass279.jpg,glass
train\glass\glass28.jpg,glass
train\glass\glass280.jpg,glass
train\glass\glass281.jpg,glass
train\glass\glass282.jpg,glass
train\glass\glass283.jpg,glass
train\glass\glass284.jpg,glass
train\glass\glass285.jpg,glass
train\glass\glass286.jpg,glass
train\glass\glass287.jpg,glass
train\glass\glass288.jpg,glass
train\glass\glass289.jpg,glass
train\glass\glass29.jpg,glass
train\glass\glass290.jpg,glass
train\glass\glass291.jpg,glass
train\glass\glass292.jpg,glass
train\glass\glass293.jpg,glass
train\glass\glass294.jpg,glass
train\glass\glass295.jpg,glass
train\glass\glass296.jpg,glass
train\glass\glass297.jpg,glass
train\glass\glass298.jpg,glass
train\glass\glass299.jpg,glass
train\glass\glass3.jpg,glass
train\glass\glass30.jpg,glass
train\glass\glass300.jpg,glass
train\glass\glass301.jpg,glass
train\glass\glass302.jpg,glass
train\glass\glass303.jpg,glass
train\glass\glass304.jpg,glass
train\glass\glass305.jpg,glass
train\glass\glass306.jpg,glass
train\glass\glass307.jpg,glass
train\glass\glass308.jpg,glass
train\glass\glass309.jpg,glass
train\glass\glass31.jpg,glass
train\glass\glass310.jpg,glass
train\glass\glass311.jpg,glass
train\glass\glass312.jpg,glass
train\glass\glass313.jpg,glass
train\glass\glass314.jpg,glass
train\glass\glass315.jpg,glass
train\glass\glass316.jpg,glass
train\glass\glass317.jpg,glass
train\glass\glass318.jpg,glass
train\glass\glass319.jpg,glass
train\glass\glass32.jpg,glass
train\glass\glass320.jpg,glass
train\glass\glass321.jpg,glass
train\glass\glass322.jpg,glass
train\glass\glass323.jpg,glass
train\glass\glass324.jpg,glass
train\glass\glass325.jpg,glass
train\glass\glass326.jpg,glass
train\glass\glass327.jpg,glass
train\glass\glass328.jpg,glass
train\glass\glass329.jpg,glass
train\glass\glass33.jpg,glass
train\glass\glass330.jpg,glass
train\glass\glass331.jpg,glass
train\glass\glass332.jpg,glass
train\glass\glass333.jpg,glass
